"File","LineNumber","Before","After"
"build-your-car\bhava-tech-all.js","148","q: 'Can schools and institutions partner with Bhava Tech?',","q: 'Can schools and institutions partner with Medhā Tech?',"
"build-your-car\bhava-tech-all.js","186","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Bhava Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Medhā Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },"
"build-your-car\bhava-tech-all.js","188","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Bhava Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Medhā Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }"
"build-your-car\bhava-tech-all.js","296",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Bhava Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Medhā Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })"
"build-your-car\bhava-tech-all.js","468","name: 'Bhāva Tech',","name: 'Medhā Tech',"
"build-your-car\bhava-tech-all.js","636","// SESSION TRACKER — Bhāva Tech","// SESSION TRACKER — Medhā Tech"
"build-your-car\bhava-tech-all.js","732","<p class=""bv-sub"">You've been exploring Bhāva Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more.","<p class=""bv-sub"">You've been exploring Medhā Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more."
"build-your-car\bhava-tech-all.js","799","toast.textContent = ""✅ Unlocked! Welcome to Bhāva Tech!"";","toast.textContent = ""✅ Unlocked! Welcome to Medhā Tech!"";"
"build-your-car\car-anatomy.html","6","<title>Bhāva Tech — Car Anatomy</title>","<title>Medhā Tech — Car Anatomy</title>"
"build-your-car\car-anatomy.html","20","<svg viewBox=""0 0 120 32"" aria-label=""Bhava Tech logo"" class=""brand-mark"">","<svg viewBox=""0 0 120 32"" aria-label=""Medhā Tech logo"" class=""brand-mark"">"
"build-your-car\car-anatomy.html","27","<p class=""eyebrow"">Bhāva Tech Engineering Studio</p>","<p class=""eyebrow"">Medhā Tech Engineering Studio</p>"
"build-your-car\car-anatomy.html","192","<h1>Bhāva Tech — Car Anatomy</h1>","<h1>Medhā Tech — Car Anatomy</h1>"
"build-your-car\index.html","6","<title>Bhāva Tech — Build Your Car</title>","<title>Medhā Tech — Build Your Car</title>"
"build-your-car\index.html","22","<svg viewBox=""0 0 120 32"" aria-label=""Bhava Tech logo"" class=""brand-mark"">","<svg viewBox=""0 0 120 32"" aria-label=""Medhā Tech logo"" class=""brand-mark"">"
"build-your-car\index.html","29","<p class=""eyebrow"">Bhāva Tech Engineering Studio</p>","<p class=""eyebrow"">Medhā Tech Engineering Studio</p>"
"build-your-car\index.html","376","<p class=""footer-note"">Try other Bhava Tech engineering games</p>","<p class=""footer-note"">Try other Medhā Tech engineering games</p>"
"build-your-car\data\README.txt","1","Bhava Tech Build Your Car starter pack.","Medhā Tech Build Your Car starter pack."
"devanagari-game\bhava-responsive.css","2","bhava-responsive.css — Global Mobile/Tablet Toolkit for Bhāva Tech Games","bhava-responsive.css — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"devanagari-game\bhava-responsive.js","2","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Bhāva Tech Games","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"devanagari-game\index.html","18","// Bhava Nav — injected before React mounts, survives React render via MutationObserver","// Medhā Nav — injected before React mounts, survives React render via MutationObserver"
"drone-build-engineer\bhava-bridge.js","2","* bhava-bridge.js — Compatibility layer for Bhāva Tech","* bhava-bridge.js — Compatibility layer for Medhā Tech"
"drone-build-engineer\bhava-game-nav.js","2","// bhava-game-nav.js  — Universal Game Navigation Bar for Bhāva Tech","// bhava-game-nav.js  — Universal Game Navigation Bar for Medhā Tech"
"drone-build-engineer\bhava-game-nav.js","170","body.innerHTML = '<div class=""bgnav-loading"">Fetching scores from Bhāva DB…</div>';","body.innerHTML = '<div class=""bgnav-loading"">Fetching scores from Medhā DB…</div>';"
"drone-build-engineer\bhava-game-nav.js","173","body.innerHTML = '<div class=""bgnav-info"">Bhava IPC not available.<br>Launch from the Electron app.</div>';","body.innerHTML = '<div class=""bgnav-info"">Medhā IPC not available.<br>Launch from the Electron app.</div>';"
"drone-build-engineer\bhava-responsive.css","2","bhava-responsive.css — Global Mobile/Tablet Toolkit for Bhāva Tech Games","bhava-responsive.css — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"drone-build-engineer\bhava-responsive.js","2","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Bhāva Tech Games","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"drone-build-engineer\bhava-session.js","1","// ── Bhāva Tech — Session Tracker + Game Nav v3 ───────────────────────────────","// ── Medhā Tech — Session Tracker + Game Nav v3 ───────────────────────────────"
"drone-build-engineer\bhava-session.js","406",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Bhāva Game';",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Medhā Game';"
"drone-build-engineer\bhava-tech-all.js","2","// ║          bhava-tech-all.js — Bhāva Tech                     ║","// ║          bhava-tech-all.js — Medhā Tech                     ║"
"drone-build-engineer\bhava-tech-all.js","12","/* Bhava Tech — script.js CLEAN BUILD */","/* Medhā Tech — script.js CLEAN BUILD */"
"drone-build-engineer\bhava-tech-all.js","97","a: 'There are three primary quotients assessed at Bhava Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures self-awareness, empathy, emotional regulation, and social skills. SQ (Spiritual/Social Quotient) measures inner clarity, sense of purpose, and values alignment. Together they give a complete picture of cognitive and personal development.'","a: 'There are three primary quotients assessed at Medhā Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures self-awareness, empathy, emotional regulation, and social skills. SQ (Spiritual/Social Quotient) measures inner clarity, sense of purpose, and values alignment. Together they give a complete picture of cognitive and personal development.'"
"drone-build-engineer\bhava-tech-all.js","101","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of inner wisdom and purposeful living. A high IQ with low EQ can still lead to poor decisions. That is why Bhava Tech assesses all three together.'","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of inner wisdom and purposeful living. A high IQ with low EQ can still lead to poor decisions. That is why Medhā Tech assesses all three together.'"
"drone-build-engineer\bhava-tech-all.js","121","a: 'Brain Gym at Bhava Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory training, attention exercises, pattern recognition tasks, and problem-solving games. Regular sessions build neural pathways, improve working memory, sharpen focus, and increase mental stamina. Results are typically noticeable within 4 to 6 weeks.'","a: 'Brain Gym at Medhā Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory training, attention exercises, pattern recognition tasks, and problem-solving games. Regular sessions build neural pathways, improve working memory, sharpen focus, and increase mental stamina. Results are typically noticeable within 4 to 6 weeks.'"
"drone-build-engineer\bhava-tech-all.js","124","q: 'What methods and techniques does Bhava Tech use?',","q: 'What methods and techniques does Medhā Tech use?',"
"drone-build-engineer\bhava-tech-all.js","148","q: 'Can schools and institutions partner with Bhava Tech?',","q: 'Can schools and institutions partner with Medhā Tech?',"
"drone-build-engineer\bhava-tech-all.js","186","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Bhava Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Medhā Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },"
"drone-build-engineer\bhava-tech-all.js","188","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Bhava Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Medhā Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }"
"drone-build-engineer\bhava-tech-all.js","296",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Bhava Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Medhā Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })"
"drone-build-engineer\bhava-tech-all.js","468","name: 'Bhāva Tech',","name: 'Medhā Tech',"
"drone-build-engineer\bhava-tech-all.js","636","// SESSION TRACKER — Bhāva Tech","// SESSION TRACKER — Medhā Tech"
"drone-build-engineer\bhava-tech-all.js","732","<p class=""bv-sub"">You've been exploring Bhāva Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more.","<p class=""bv-sub"">You've been exploring Medhā Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more."
"drone-build-engineer\bhava-tech-all.js","799","toast.textContent = ""✅ Unlocked! Welcome to Bhāva Tech!"";","toast.textContent = ""✅ Unlocked! Welcome to Medhā Tech!"";"
"drone-build-engineer\index.html","6","<title>Drone Build Engineer — Bhāva Tech</title>","<title>Drone Build Engineer — Medhā Tech</title>"
"drone-build-engineer\index.html","18","<span class=""brand-name"">Bhāva Tech</span>","<span class=""brand-name"">Medhā Tech</span>"
"focus-flash\bhava-bridge.js","2","* bhava-bridge.js — Compatibility layer for Bhāva Tech","* bhava-bridge.js — Compatibility layer for Medhā Tech"
"focus-flash\bhava-game-nav.js","2","// bhava-game-nav.js  — Universal Game Navigation Bar for Bhāva Tech","// bhava-game-nav.js  — Universal Game Navigation Bar for Medhā Tech"
"focus-flash\bhava-game-nav.js","170","body.innerHTML = '<div class=""bgnav-loading"">Fetching scores from Bhāva DB…</div>';","body.innerHTML = '<div class=""bgnav-loading"">Fetching scores from Medhā DB…</div>';"
"focus-flash\bhava-game-nav.js","173","body.innerHTML = '<div class=""bgnav-info"">Bhava IPC not available.<br>Launch from the Electron app.</div>';","body.innerHTML = '<div class=""bgnav-info"">Medhā IPC not available.<br>Launch from the Electron app.</div>';"
"focus-flash\bhava-responsive_OLD.css","2","bhava-responsive.css — Global Mobile/Tablet Toolkit for Bhāva Tech Games","bhava-responsive.css — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"focus-flash\bhava-responsive_OLD.js","2","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Bhāva Tech Games","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"focus-flash\bhava-session.js","1","// ── Bhāva Tech — Session Tracker + Game Nav v3 ───────────────────────────────","// ── Medhā Tech — Session Tracker + Game Nav v3 ───────────────────────────────"
"focus-flash\bhava-session.js","406",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Bhāva Game';",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Medhā Game';"
"focus-flash\bhava-tech-all.js","2","// ║          bhava-tech-all.js — Bhāva Tech                     ║","// ║          bhava-tech-all.js — Medhā Tech                     ║"
"focus-flash\bhava-tech-all.js","12","/* Bhava Tech — script.js CLEAN BUILD */","/* Medhā Tech — script.js CLEAN BUILD */"
"focus-flash\bhava-tech-all.js","97","a: 'There are three primary quotients assessed at Bhava Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures self-awareness, empathy, emotional regulation, and social skills. SQ (Spiritual/Social Quotient) measures inner clarity, sense of purpose, and values alignment. Together they give a complete picture of cognitive and personal development.'","a: 'There are three primary quotients assessed at Medhā Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures self-awareness, empathy, emotional regulation, and social skills. SQ (Spiritual/Social Quotient) measures inner clarity, sense of purpose, and values alignment. Together they give a complete picture of cognitive and personal development.'"
"focus-flash\bhava-tech-all.js","101","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of inner wisdom and purposeful living. A high IQ with low EQ can still lead to poor decisions. That is why Bhava Tech assesses all three together.'","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of inner wisdom and purposeful living. A high IQ with low EQ can still lead to poor decisions. That is why Medhā Tech assesses all three together.'"
"focus-flash\bhava-tech-all.js","121","a: 'Brain Gym at Bhava Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory training, attention exercises, pattern recognition tasks, and problem-solving games. Regular sessions build neural pathways, improve working memory, sharpen focus, and increase mental stamina. Results are typically noticeable within 4 to 6 weeks.'","a: 'Brain Gym at Medhā Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory training, attention exercises, pattern recognition tasks, and problem-solving games. Regular sessions build neural pathways, improve working memory, sharpen focus, and increase mental stamina. Results are typically noticeable within 4 to 6 weeks.'"
"focus-flash\bhava-tech-all.js","124","q: 'What methods and techniques does Bhava Tech use?',","q: 'What methods and techniques does Medhā Tech use?',"
"focus-flash\bhava-tech-all.js","148","q: 'Can schools and institutions partner with Bhava Tech?',","q: 'Can schools and institutions partner with Medhā Tech?',"
"focus-flash\bhava-tech-all.js","186","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Bhava Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Medhā Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },"
"focus-flash\bhava-tech-all.js","188","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Bhava Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Medhā Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }"
"focus-flash\bhava-tech-all.js","296",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Bhava Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Medhā Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })"
"focus-flash\bhava-tech-all.js","468","name: 'Bhāva Tech',","name: 'Medhā Tech',"
"focus-flash\bhava-tech-all.js","636","// SESSION TRACKER — Bhāva Tech","// SESSION TRACKER — Medhā Tech"
"focus-flash\bhava-tech-all.js","732","<p class=""bv-sub"">You've been exploring Bhāva Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more.","<p class=""bv-sub"">You've been exploring Medhā Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more."
"focus-flash\bhava-tech-all.js","799","toast.textContent = ""✅ Unlocked! Welcome to Bhāva Tech!"";","toast.textContent = ""✅ Unlocked! Welcome to Medhā Tech!"";"
"hidden-maths\bhava-bridge.js","2","* bhava-bridge.js — Compatibility layer for Bhāva Tech","* bhava-bridge.js — Compatibility layer for Medhā Tech"
"hidden-maths\bhava-responsive.css","2","bhava-responsive.css — Global Mobile/Tablet Toolkit for Bhāva Tech Games","bhava-responsive.css — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"hidden-maths\bhava-responsive.js","2","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Bhāva Tech Games","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"hidden-maths\bhava-session.js","1","// ── Bhāva Tech — Session Tracker + Game Nav v3 ───────────────────────────────","// ── Medhā Tech — Session Tracker + Game Nav v3 ───────────────────────────────"
"hidden-maths\bhava-session.js","406",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Bhāva Game';",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Medhā Game';"
"hidden-maths\bhava-tech-all.js","2","// ║          bhava-tech-all.js — Bhāva Tech                     ║","// ║          bhava-tech-all.js — Medhā Tech                     ║"
"hidden-maths\bhava-tech-all.js","12","/* Bhava Tech — script.js CLEAN BUILD */","/* Medhā Tech — script.js CLEAN BUILD */"
"hidden-maths\bhava-tech-all.js","97","a: 'There are three primary quotients assessed at Bhava Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures self-awareness, empathy, emotional regulation, and social skills. SQ (Spiritual/Social Quotient) measures inner clarity, sense of purpose, and values alignment. Together they give a complete picture of cognitive and personal development.'","a: 'There are three primary quotients assessed at Medhā Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures self-awareness, empathy, emotional regulation, and social skills. SQ (Spiritual/Social Quotient) measures inner clarity, sense of purpose, and values alignment. Together they give a complete picture of cognitive and personal development.'"
"hidden-maths\bhava-tech-all.js","101","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of inner wisdom and purposeful living. A high IQ with low EQ can still lead to poor decisions. That is why Bhava Tech assesses all three together.'","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of inner wisdom and purposeful living. A high IQ with low EQ can still lead to poor decisions. That is why Medhā Tech assesses all three together.'"
"hidden-maths\bhava-tech-all.js","121","a: 'Brain Gym at Bhava Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory training, attention exercises, pattern recognition tasks, and problem-solving games. Regular sessions build neural pathways, improve working memory, sharpen focus, and increase mental stamina. Results are typically noticeable within 4 to 6 weeks.'","a: 'Brain Gym at Medhā Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory training, attention exercises, pattern recognition tasks, and problem-solving games. Regular sessions build neural pathways, improve working memory, sharpen focus, and increase mental stamina. Results are typically noticeable within 4 to 6 weeks.'"
"hidden-maths\bhava-tech-all.js","124","q: 'What methods and techniques does Bhava Tech use?',","q: 'What methods and techniques does Medhā Tech use?',"
"hidden-maths\bhava-tech-all.js","148","q: 'Can schools and institutions partner with Bhava Tech?',","q: 'Can schools and institutions partner with Medhā Tech?',"
"hidden-maths\bhava-tech-all.js","186","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Bhava Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Medhā Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },"
"hidden-maths\bhava-tech-all.js","188","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Bhava Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Medhā Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }"
"hidden-maths\bhava-tech-all.js","296",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Bhava Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Medhā Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })"
"hidden-maths\bhava-tech-all.js","468","name: 'Bhāva Tech',","name: 'Medhā Tech',"
"hidden-maths\bhava-tech-all.js","636","// SESSION TRACKER — Bhāva Tech","// SESSION TRACKER — Medhā Tech"
"hidden-maths\bhava-tech-all.js","732","<p class=""bv-sub"">You've been exploring Bhāva Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more.","<p class=""bv-sub"">You've been exploring Medhā Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more."
"hidden-maths\bhava-tech-all.js","799","toast.textContent = ""✅ Unlocked! Welcome to Bhāva Tech!"";","toast.textContent = ""✅ Unlocked! Welcome to Medhā Tech!"";"
"hidden-maths\index.html","168","<!-- Bhava Tech Integration -->","<!-- Medhā Tech Integration -->"
"hidden-maths\index.html","174","<!-- Bhava Menu Button -->","<!-- Medhā Menu Button -->"
"hidden-maths\index.html","203","<button id=""bhava-menu-btn"" aria-label=""Open Bhava menu"" title=""Bhava Menu"">&#9776;</button>","<button id=""bhava-menu-btn"" aria-label=""Open Medhā menu"" title=""Medhā Menu"">&#9776;</button>"
"intelligent-machines\bhava-bridge.js","2","* bhava-bridge.js — Compatibility layer for Bhāva Tech","* bhava-bridge.js — Compatibility layer for Medhā Tech"
"intelligent-machines\bhava-game-nav.js","2","// bhava-game-nav.js  — Universal Game Navigation Bar for Bhāva Tech","// bhava-game-nav.js  — Universal Game Navigation Bar for Medhā Tech"
"intelligent-machines\bhava-game-nav.js","170","body.innerHTML = '<div class=""bgnav-loading"">Fetching scores from Bhāva DB…</div>';","body.innerHTML = '<div class=""bgnav-loading"">Fetching scores from Medhā DB…</div>';"
"intelligent-machines\bhava-game-nav.js","173","body.innerHTML = '<div class=""bgnav-info"">Bhava IPC not available.<br>Launch from the Electron app.</div>';","body.innerHTML = '<div class=""bgnav-info"">Medhā IPC not available.<br>Launch from the Electron app.</div>';"
"intelligent-machines\bhava-responsive.css","2","bhava-responsive.css — Global Mobile/Tablet Toolkit for Bhāva Tech Games","bhava-responsive.css — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"intelligent-machines\bhava-responsive.js","2","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Bhāva Tech Games","// bhava-responsive.js — Global Mobile/Tablet Toolkit for Medhā Tech Games"
"intelligent-machines\bhava-session.js","1","// ── Bhāva Tech — Session Tracker + Game Nav v3 ───────────────────────────────","// ── Medhā Tech — Session Tracker + Game Nav v3 ───────────────────────────────"
"intelligent-machines\bhava-session.js","406",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Bhāva Game';",".replace(/bh[aā]va|tech/gi, '').trim().slice(0, 32) || 'Medhā Game';"
"intelligent-machines\bhava-tech-all.js","2","// ║          bhava-tech-all.js — Bhāva Tech                     ║","// ║          bhava-tech-all.js — Medhā Tech                     ║"
"intelligent-machines\bhava-tech-all.js","12","/* Bhava Tech — script.js CLEAN BUILD */","/* Medhā Tech — script.js CLEAN BUILD */"
"intelligent-machines\bhava-tech-all.js","97","a: 'There are three primary quotients assessed at Bhava Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures self-awareness, empathy, emotional regulation, and social skills. SQ (Spiritual/Social Quotient) measures inner clarity, sense of purpose, and values alignment. Together they give a complete picture of cognitive and personal development.'","a: 'There are three primary quotients assessed at Medhā Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures self-awareness, empathy, emotional regulation, and social skills. SQ (Spiritual/Social Quotient) measures inner clarity, sense of purpose, and values alignment. Together they give a complete picture of cognitive and personal development.'"
"intelligent-machines\bhava-tech-all.js","101","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of inner wisdom and purposeful living. A high IQ with low EQ can still lead to poor decisions. That is why Bhava Tech assesses all three together.'","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of inner wisdom and purposeful living. A high IQ with low EQ can still lead to poor decisions. That is why Medhā Tech assesses all three together.'"
"intelligent-machines\bhava-tech-all.js","121","a: 'Brain Gym at Bhava Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory training, attention exercises, pattern recognition tasks, and problem-solving games. Regular sessions build neural pathways, improve working memory, sharpen focus, and increase mental stamina. Results are typically noticeable within 4 to 6 weeks.'","a: 'Brain Gym at Medhā Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory training, attention exercises, pattern recognition tasks, and problem-solving games. Regular sessions build neural pathways, improve working memory, sharpen focus, and increase mental stamina. Results are typically noticeable within 4 to 6 weeks.'"
"intelligent-machines\bhava-tech-all.js","124","q: 'What methods and techniques does Bhava Tech use?',","q: 'What methods and techniques does Medhā Tech use?',"
"intelligent-machines\bhava-tech-all.js","148","q: 'Can schools and institutions partner with Bhava Tech?',","q: 'Can schools and institutions partner with Medhā Tech?',"
"intelligent-machines\bhava-tech-all.js","186","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Bhava Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Medhā Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },"
"intelligent-machines\bhava-tech-all.js","188","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Bhava Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Medhā Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }"
"intelligent-machines\bhava-tech-all.js","296",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Bhava Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Medhā Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })"
"intelligent-machines\bhava-tech-all.js","468","name: 'Bhāva Tech',","name: 'Medhā Tech',"
"intelligent-machines\bhava-tech-all.js","636","// SESSION TRACKER — Bhāva Tech","// SESSION TRACKER — Medhā Tech"
"intelligent-machines\bhava-tech-all.js","732","<p class=""bv-sub"">You've been exploring Bhāva Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more.","<p class=""bv-sub"">You've been exploring Medhā Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more."
"intelligent-machines\bhava-tech-all.js","799","toast.textContent = ""✅ Unlocked! Welcome to Bhāva Tech!"";","toast.textContent = ""✅ Unlocked! Welcome to Medhā Tech!"";"
"intelligent-machines\index.html","6","<title>From Humans to Intelligent Machines | Bhava Tech</title>","<title>From Humans to Intelligent Machines | Medhā Tech</title>"
